kepoi_name,koi_period,koi_prad,koi_srad,koi_teq,koi_insol
K00752.01,9.48803557,2.26,0.927,793.0,93.59
K00752.02,54.4183827,2.83,0.927,443.0,9.11
K00753.01,19.89913995,14.6,0.868,638.0,39.3
K00754.01,1.736952453,33.46,0.791,1395.0,891.96
K00755.01,2.525591777,2.75,1.046,1406.0,926.16
K00756.01,11.09432054,3.9,0.972,835.0,114.81
K00756.02,4.13443512,2.77,0.972,1160.0,427.65
K00756.03,2.56658897,1.59,0.972,1360.0,807.74
K00114.01,7.36178958,39.21,1.958,1342.0,767.22
K00757.01,16.06864674,5.76,0.848,600.0,30.75
K00001.01,2.470613377,13.04,0.964,1339.0,761.46
K00002.01,2.204735417,16.1,1.952,2048.0,4148.92
K00010.01,3.522498429,14.59,1.451,1521.0,1264.67
K00112.02,3.709214104,1.16,1.022,1206.0,500.46
K00742.01,11.521446064,150.51,0.848,753.0,75.88
K00743.01,19.40393776,7.18,0.68,523.0,17.69
K00744.01,19.221388942,49.29,0.947,698.0,55.97
K00745.01,16.46983774,7.94,0.786,595.0,29.61
K00746.01,9.27358173,2.47,0.696,649.0,41.85
K00747.01,6.02930329,2.85,0.672,678.0,50.04
K00748.01,2.696370652,1.58,0.819,1066.0,305.34
K00749.01,5.349553819,2.55,0.91,919.0,168.99
K00749.02,3.94105221,1.7,0.91,1018.0,253.15
K00749.03,8.10904807,1.3,0.91,800.0,97.03
K00113.01,386.6030528,41.5,1.58,297.0,1.84
K00750.01,21.67699193,2.95,0.828,530.0,18.64
K00751.01,4.99677968,2.78,0.847,917.0,166.95
K00769.01,4.280963604,2.3,0.831,1012.0,247.87
K00770.01,1.50635409,4.53,0.831,1452.0,1054.12
K00771.01,670.645531,14.14,0.983,196.0,0.35
K00772.01,61.2563628,39.87,1.091,505.0,15.43
K00773.01,38.3775486,2.82,1.036,529.0,18.53
K00757.02,41.19725502,3.86,0.848,439.0,8.76
K00757.03,6.252962249,2.65,0.848,823.0,108.3
K00758.01,16.01308419,3.1,0.826,593.0,29.31
K00759.01,32.62876672,3.36,0.798,506.0,15.55
K00759.02,91.7732862,2.12,0.798,359.0,3.92
K00760.01,4.959319244,12.21,1.082,1103.0,349.4
K00761.01,2.701287801,6.54,0.91,1222.0,527.81
K00762.01,4.49876511,2.1,0.969,1133.0,389.62
K00763.01,19.651209505,12.42,1.063,730.0,67.03
K00115.01,5.412203927,2.94,1.087,1093.0,337.68
K00764.01,41.43958662,5.5,1.046,516.0,16.72
K00765.01,8.35389523,2.52,0.787,790.0,91.9
K00766.01,4.125543472,4.43,1.103,1243.0,565.35
K00767.01,2.816504904,12.21,0.955,1219.0,521.13
K00768.01,33.93373447,7.34,0.705,430.0,8.11
K00786.01,3.689920099,1.89,0.917,1147.0,408.99
K00787.01,4.431238488,3.25,1.015,1104.0,351.23
K00787.02,11.37936986,3.95,1.015,806.0,99.68
K00788.01,26.39432897,3.07,0.763,489.0,13.49
K00116.01,13.57078281,2.64,1.012,785.0,89.61
K00115.02,7.12594387,1.79,1.087,997.0,233.31
K00774.01,7.442652004,15.03,0.956,967.0,206.78
K00775.01,16.38489988,2.0,0.615,433.0,8.35
K00775.02,7.8774163,2.16,0.615,553.0,22.18
K00775.03,36.4454001,1.99,0.615,332.0,2.88
K00776.01,3.728732147,6.02,0.809,1023.0,258.34
K00777.01,40.4195037,7.51,0.781,467.0,11.29
K00778.01,2.243380573,1.99,0.564,822.0,107.6
K00779.01,10.405998015,11.23,0.924,833.0,113.94
K00780.01,2.337437946,2.34,0.765,1070.0,311.16
K00780.02,7.2406612,19.45,0.765,734.0,68.63
K00115.03,3.43591631,0.55,1.087,1272.0,617.61
K00781.01,11.59822233,2.65,0.473,396.0,5.82
K00782.01,6.575315881,5.31,0.989,1015.0,251.38
K00783.01,7.275040844,4.86,0.867,833.0,113.64
K00784.01,19.27153892,1.93,0.56,393.0,5.66
K00784.02,10.06524317,1.91,0.56,488.0,13.43
K00785.01,12.3935651,2.66,0.75,677.0,49.68
K00116.02,43.84439721,2.87,1.012,531.0,18.77
K00798.01,3.341913228,21.55,0.811,1032.0,268.67
K00799.01,1.626630225,32.43,0.973,1547.0,1355.88
K00800.01,2.711504086,3.12,1.076,1420.0,960.79
K00800.02,7.21203748,3.32,1.076,1025.0,260.58
K00789.01,14.1798187,1.88,0.878,711.0,60.35
K00790.01,8.47237911,2.59,0.788,751.0,75.44
K00790.02,60.4189369,2.36,0.788,390.0,5.49
K00791.01,12.611904345,7.4,0.919,753.0,76.15
K00792.01,1.433769925,46.58,1.339,1920.0,3209.29
K00793.01,10.31872301,28.59,1.06,876.0,139.26
K00794.01,2.539183147,2.06,1.062,1332.0,743.09
K00795.01,6.770300385,2.77,0.679,812.0,102.87
K00796.01,0.444291966,27.51,0.636,1836.0,2706.26
K00797.01,10.181584004,7.73,0.836,812.0,102.91
K00812.02,20.06036336,1.96,0.493,361.0,4.0
K00812.03,46.1842039,1.83,0.493,273.0,1.32
K00116.04,23.9800854,1.31,1.012,649.0,41.94
K00812.04,7.82502168,1.2,0.493,494.0,14.05
K00813.01,3.895936525,7.34,0.774,1005.0,241.62
K00814.01,22.36646466,2.32,0.734,536.0,19.45
K00801.01,1.625522174,9.73,1.106,1579.0,1467.41
K00802.01,19.620346923,13.6,0.905,643.0,40.39
K00803.01,7.544039,17.47,0.824,838.0,116.46
K00804.01,9.02930689,2.57,0.82,757.0,77.75
K00805.01,10.328035714,13.28,1.024,843.0,119.31
K00806.01,143.2063047,8.9,0.867,308.0,2.14
K00116.03,6.164876,0.79,1.012,1021.0,256.35
K00806.02,60.32494216,12.19,0.867,411.0,6.77
K00806.03,29.1598615,1.91,0.867,524.0,17.85
K00807.01,1.540397253,25.69,0.915,1470.0,1105.68
K00808.01,2.99025443,1.7,0.731,918.0,168.45
K00809.01,1.594745374,11.3,0.893,1539.0,1329.42
K00810.01,4.783002698,2.5,0.807,886.0,145.48
K00811.01,20.50588921,3.41,0.761,518.0,17.06
K00812.01,3.340218842,2.03,0.493,656.0,43.73
K00828.01,2.507089906,30.26,0.939,1326.0,730.47
K00829.01,18.64932728,3.12,1.053,701.0,57.13
K00117.02,4.90144976,1.7,1.402,1262.0,598.74
K00829.02,9.75192101,2.76,1.053,870.0,135.66
K00829.03,38.5576546,4.02,1.053,550.0,21.71
K00830.01,3.525632539,11.58,0.793,975.0,213.12
K00815.01,34.84398644,7.61,0.871,511.0,16.1
K00816.01,7.748094239,5.52,1.085,964.0,204.39
K00817.01,23.96793669,1.8,0.524,329.0,2.77
K00818.01,8.11437482,2.1,0.517,460.0,10.55
K00819.01,38.036729482,27.5,0.932,500.0,14.81
K00820.01,4.64090031,30.09,0.826,1155.0,421.08
K00011.01,3.747838198,13.65,0.826,1031.0,266.76
K00117.01,14.74914825,2.89,1.402,874.0,137.91
K00821.01,21.81295996,3.38,0.999,639.0,39.33
K00822.01,7.91936937,10.34,0.776,814.0,104.0
K00823.01,1.028436523,72.77,0.99,1947.0,3400.48
K00824.01,15.37562369,11.01,0.833,600.0,30.54
K00825.01,8.10363271,2.11,0.732,687.0,52.82
K00825.02,4.71510843,1.46,0.732,823.0,108.84
K00826.01,6.365839713,2.44,0.849,914.0,165.33
K00827.01,5.97581754,3.86,0.997,1047.0,284.25
K00839.01,2.446737317,26.25,0.863,1261.0,597.19
K00840.01,3.04033046,8.99,0.791,1021.0,257.29
K00841.01,15.33528675,5.0,0.817,610.0,32.67
K00117.04,7.95825328,1.06,1.402,1074.0,314.15
K00841.02,31.33046135,6.5,0.817,481.0,12.61
K00831.01,3.9043425,12.28,0.898,1104.0,351.05
K00832.01,9.286358079,17.61,0.821,796.0,95.03
K00833.01,3.951405455,31.44,0.869,1133.0,388.71
K00834.01,23.65369415,7.89,1.384,731.0,67.65
K00834.02,13.23352214,3.06,1.384,888.0,146.67
K00834.03,6.15560285,2.32,1.384,1146.0,406.94
K00834.04,2.090811305,1.62,1.384,1642.0,1718.04
K00117.03,3.180027898,1.53,1.402,1458.0,1066.86
K00834.05,50.4467417,2.67,1.384,568.0,24.64
K00835.01,11.76307164,2.35,0.756,616.0,33.99
K00835.02,56.2279271,2.37,0.756,366.0,4.22
K00836.01,2.384052875,17.06,0.701,1010.0,244.87
K00837.01,7.953547,2.25,0.779,696.0,55.37
K00837.02,4.14451656,1.48,0.779,864.0,132.08
K00838.01,4.859386384,38.33,0.988,1114.0,364.23
K00850.01,10.526294577,8.24,0.793,713.0,61.16
K00851.01,4.583520948,5.39,0.877,1038.0,274.98
K00852.01,3.76181843,2.66,0.949,1121.0,372.62
K00853.01,8.20396958,3.01,0.826,742.0,71.5
K00853.02,14.49645186,3.01,0.826,613.0,33.48
K00841.03,6.54626149,2.19,0.817,810.0,101.78
K00842.01,12.71809866,2.31,0.686,562.0,23.6
K00842.02,36.06588163,2.64,0.686,397.0,5.88
K00843.01,4.190425659,6.21,1.135,1234.0,547.9
K00844.01,3.709870784,4.35,0.978,1151.0,415.1
K00845.01,16.3297527,3.75,0.987,727.0,66.08
K00846.01,27.807566216,13.84,0.785,554.0,22.24
K00847.01,80.8723469,7.59,1.238,452.0,9.88
K00848.01,3.166465862,26.82,0.704,954.0,196.31
K00118.01,24.99324319,2.29,1.317,712.0,60.88
K00849.01,10.35533116,2.47,0.918,777.0,86.22
K00867.01,16.08518937,3.68,0.826,613.0,33.43
K00868.01,235.9986399,10.59,0.657,188.0,0.29
K00869.01,7.49018305,2.56,0.787,753.0,76.06
K00869.02,36.2761238,3.03,0.787,445.0,9.29
K00869.03,17.46087931,2.32,0.787,568.0,24.6
K00854.01,56.0560754,1.94,0.491,233.0,0.69
K00855.01,41.408316686,11.38,0.747,453.0,9.93
K00856.01,39.74893077,14.21,0.964,552.0,21.87
K00857.01,5.715425977,2.47,0.826,850.0,123.03
K00119.01,49.18394185,8.2,2.057,669.0,47.4
K00857.02,20.0261412,2.28,0.826,559.0,23.14
K00858.01,13.61014819,19.02,0.903,733.0,68.29
K00859.01,10.44331991,2.66,0.802,667.0,46.94
K00861.01,2.237489571,1.41,0.81,1160.0,427.17
K00862.01,5.851520671,14.62,0.806,901.0,155.89
K00863.01,3.167893418,2.62,0.94,1221.0,526.23
K00864.01,4.311780262,3.11,0.927,1038.0,274.84
K00864.02,20.0504494,2.69,0.927,622.0,35.44
K00864.03,9.76734503,2.67,0.927,791.0,92.46
K00865.01,119.0207044,8.98,1.062,366.0,4.25
K00119.02,190.3200468,7.78,2.057,426.0,7.8
K00866.01,2.861159894,4.37,1.021,1355.0,797.1
K00880.01,26.44439337,3.91,0.929,562.0,23.54
K00880.02,51.53997972,5.51,0.929,450.0,9.67
K00880.03,5.902245782,2.43,0.929,926.0,173.74
K00880.04,2.382951591,1.86,0.929,1253.0,583.01
K00881.01,21.02250608,3.07,0.75,521.0,17.48
K00869.04,3.219814777,1.69,0.787,998.0,234.93
K00870.01,5.912273234,1.73,0.57,585.0,27.72
K00870.02,8.98581901,1.65,0.57,509.0,15.9
K00871.01,12.940668656,22.94,0.809,723.0,64.64
K00120.01,20.5452375,2.41,1.264,742.0,71.57
K00872.01,33.60123371,8.46,0.93,495.0,14.22
K00872.02,6.76652928,1.97,0.93,845.0,120.48
K00873.01,4.347288783,2.36,1.122,1174.0,449.79
K00874.01,4.601811819,2.35,0.833,896.0,152.91
K00874.02,11.18719905,1.55,0.833,667.0,46.65
K00875.01,4.220965778,2.62,0.517,595.0,29.68
K00876.01,6.998099523,588.66,0.829,853.0,125.22
K00877.01,5.95489993,2.33,0.633,635.0,38.52
K00877.02,12.03987488,2.18,0.633,502.0,15.06
K00877.03,20.83762895,1.42,0.633,418.0,7.24
K00121.01,8.8111022,63.66,2.404,1399.0,904.92
K00878.01,23.58917143,3.16,0.721,487.0,13.34
K00123.01,6.481633073,2.54,1.302,1145.0,406.25
K00892.01,10.37168928,3.2,0.888,720.0,63.68
K00892.02,3.96996298,1.78,0.888,992.0,229.37
K00893.01,4.40841331,2.66,0.961,1139.0,398.0
K00894.01,7.9426176,4.68,0.926,878.0,140.57
K00881.02,226.8904775,4.53,0.75,236.0,0.73
K00882.01,1.956811408,21.58,0.603,1109.0,357.16
K00883.01,2.688899233,12.04,0.639,929.0,175.76
K00884.01,9.439459486,4.16,0.779,686.0,52.32
K00122.01,11.523067458,3.13,1.411,927.0,174.81
K00884.02,20.47748843,2.92,0.779,530.0,18.65
K00884.03,3.336123113,1.74,0.779,970.0,209.79
K00886.01,8.01078456,1.72,0.47,453.0,9.9
K00886.02,12.07134205,1.29,0.47,395.0,5.74
K00886.03,20.99587872,1.3,0.47,328.0,2.74
K00887.01,7.41113177,2.45,0.919,905.0,158.11
K00888.01,1.000747038,4.14,0.79,1620.0,1635.2
K00889.01,8.884922995,10.51,0.843,770.0,83.21
K00890.01,8.09888906,8.95,1.076,986.0,223.19
K00891.01,10.00653012,3.52,1.001,876.0,139.21
K00012.01,17.855221681,13.16,1.367,911.0,163.04
K00901.01,12.732624065,4.87,0.541,432.0,8.22
K00902.01,83.92494032,4.78,0.509,226.0,0.62
K00903.01,5.007316661,6.96,0.827,998.0,234.28
K00904.01,2.211116989,1.85,0.646,931.0,177.19
K00904.02,27.9541337,1.9,0.646,400.0,6.04
K00124.01,12.69104387,2.57,1.626,1008.0,244.3
K00895.01,4.409409243,10.95,0.975,1101.0,347.06
K00896.01,16.23947096,4.14,0.837,598.0,30.14
K00896.02,6.308201629,2.96,0.837,819.0,106.44
K00897.01,2.052349884,13.12,1.08,1497.0,1183.18
K00898.01,9.7704486,2.23,0.509,460.0,10.59
K00898.02,5.169804269,1.66,0.509,569.0,24.75
K00123.02,21.22261195,2.48,1.302,771.0,83.56
K00898.03,20.09017037,2.25,0.509,362.0,4.05
K00899.01,7.11373257,1.16,0.411,429.0,8.01
K00899.02,3.306551643,0.91,0.411,554.0,22.19
K00899.03,15.36845737,1.11,0.411,332.0,2.86
K00900.01,13.81020318,4.56,1.142,833.0,113.75
K00911.01,4.093578461,2.85,0.999,1182.0,461.07
K00911.02,105.145959,3.43,0.999,401.0,6.09
K00912.01,10.8484518,2.34,0.591,499.0,14.66
K00912.02,6.66833241,1.18,0.591,587.0,28.06
K00913.01,4.082274889,10.55,0.794,1016.0,251.48
K00914.01,3.886655224,1.87,0.738,1010.0,246.29
K00904.03,42.1406089,1.85,0.646,349.0,3.49
K00904.04,4.617490562,1.62,0.646,728.0,66.47
K00904.05,10.19849255,1.75,0.646,559.0,23.11
K00905.01,5.795063956,4.33,0.827,950.0,192.74
K00906.01,7.15681552,2.47,0.838,782.0,88.23
K00906.02,17.64830851,2.43,0.838,579.0,26.49
K00906.03,4.14810719,1.08,0.838,938.0,182.76
K00907.01,16.51410989,2.72,0.866,655.0,43.57
K00907.02,30.1329298,3.14,0.866,536.0,19.55
K00907.03,4.79090809,1.36,0.866,990.0,227.24
K00124.02,31.71981013,3.09,1.626,743.0,71.97
K00907.04,99.6415962,2.64,0.866,360.0,3.97
K00908.01,4.708326451,10.6,1.21,1162.0,431.02
K00909.01,16.37198661,540.37,0.592,438.0,8.71
K00910.01,5.392026903,2.68,0.801,850.0,123.33
K00928.01,2.494170338,2.42,0.829,1194.0,480.19
K00929.01,6.491682808,9.66,1.107,1062.0,301.54
K00930.01,3.044770796,24.54,0.753,1076.0,317.36
K00931.01,3.855603916,13.61,1.046,1212.0,508.65
K00932.01,3.855599139,3.57,0.965,1158.0,425.74
K00125.01,38.47876629,13.26,0.879,484.0,13.01
K00915.01,37.601661282,27.22,1.096,606.0,31.86
K00916.01,3.314947362,3.94,0.944,1155.0,421.03
K00917.01,6.71969089,4.37,0.866,952.0,194.18
K00918.01,39.6431552,10.98,0.9,472.0,11.74
K00919.01,51.42598578,29.66,1.147,549.0,21.4
K00920.01,21.80451611,2.6,0.708,543.0,20.48
K00921.01,10.28194593,2.53,0.775,680.0,50.6
K00921.02,18.11993039,2.95,0.775,563.0,23.77
K00921.03,3.78402867,1.7,0.775,949.0,191.78
K00922.01,5.15448142,2.94,0.884,964.0,204.1
K00126.01,33.80364366,20.7,1.796,745.0,72.71
K00923.01,5.743469797,3.13,0.891,982.0,219.95
K00924.01,39.4759093,4.06,1.031,577.0,26.13
K00925.01,19.974485239,26.56,0.997,700.0,56.84
K00926.01,3.166353562,3.82,0.998,1273.0,621.92
K00927.01,23.899634407,44.04,0.924,652.0,42.8
K00939.01,3.388012244,2.11,1.25,1315.0,705.93
K00939.02,5.83909761,2.06,1.25,1097.0,341.48
K00939.03,1.620467654,1.57,1.25,1681.0,1893.42
K00939.04,10.6816951,2.3,1.25,897.0,152.75
K00940.01,6.104849417,3.18,0.712,784.0,89.25
K00127.01,3.578780566,10.43,0.994,1145.0,406.6
K00933.01,3.187067566,23.88,0.811,1079.0,319.76
K00934.01,5.826657508,4.09,1.06,1013.0,248.57
K00934.02,12.41216347,2.58,1.06,787.0,90.65
K00934.03,18.74649011,3.05,1.06,686.0,52.38
K00935.01,20.86021229,5.5,1.257,781.0,87.76
K00935.02,42.63427848,5.22,1.257,615.0,33.82
K00935.03,87.6476068,4.0,1.257,484.0,12.94
K00935.04,9.61731426,1.94,1.257,1010.0,246.13
K00936.01,9.467821474,2.13,0.458,407.0,6.47
K00936.02,0.893040969,1.24,0.458,893.0,151.14
K00128.01,4.942783419,10.62,0.978,1008.0,244.42
K00937.01,20.83426731,2.74,0.88,595.0,29.62
K00938.01,9.94602357,3.12,1.013,807.0,100.34
K00938.02,1.04562195,1.45,1.013,1710.0,2031.84
K00938.03,5.71462396,1.78,1.013,971.0,210.16
K00145.01,102.9641952,39.0,7.119,797.0,95.4
K01102.02,8.14515981,3.43,1.24,1050.0,287.91
K01102.03,18.9985279,43.17,1.24,792.0,93.03
K01102.04,4.24439049,2.07,1.24,1305.0,686.99
K01103.01,90.1240507,7.12,1.215,485.0,13.09
K00150.02,28.5742692,2.32,0.812,538.0,19.83
K01168.01,856.672115,3.87,1.309,242.0,0.81
K01169.01,0.689210173,1.32,0.954,1943.0,3362.71
K01170.01,7.34373964,1.84,0.762,839.0,117.5
K01171.01,0.445277068,35.74,1.064,2562.0,10177.11
K00966.01,0.379463865,59.56,1.783,3000.0,19256.81
K00967.01,9.88047978,23.6,0.917,860.0,129.45
K00968.01,4.6484156,5.06,3.482,2259.0,6152.88
K00969.01,17.512014768,13.66,1.132,804.0,98.77
K00970.01,3.9886021,34.39,13.652,3145.0,23135.72
K00971.01,0.533059312,133.56,4.051,5862.0,277887.7
K01044.01,0.525154153,23.61,0.846,2073.0,4391.51
K01045.01,1.303861044,27.85,0.902,1610.0,1595.19
K01047.01,2.55549176,23.35,0.901,1312.0,701.68
K00014.01,2.947376671,403.59,2.234,2404.0,7903.84
K00139.01,224.7789355,7.67,1.235,333.0,2.92
K01104.01,0.890110752,1.25,0.711,1372.0,838.42
K01105.01,5.76573396,7.47,4.434,1964.0,3518.78
